State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Pennsylvania,1974,35.9,31.7,43.3,55.7,62.4,70.3,76.9,76.7,68.1,54.8,48.5,39.4,55.3
Pennsylvania,1975,37.3,35.8,41.2,48.7,66.5,72.2,76.6,77,66.6,61.2,52.7,36.9,56.1
Pennsylvania,1976,28.7,40.9,46.3,56.5,62.7,75.2,75.2,74.8,67.3,52.5,39.9,30.3,54.2
Pennsylvania,1977,20,33.6,48.8,57.2,65.8,68.6,77.8,76.2,69.9,54.3,46.4,32.6,54.3
Pennsylvania,1978,28,24.6,39,50.6,61.4,72.6,75.5,79.1,68.5,55.5,47.9,38.6,53.4
Pennsylvania,1979,32.5,23,47,52.3,66.4,69,76.2,75.4,68.5,54.9,50.1,38.2,54.5
Pennsylvania,1980,31.7,29.7,40.2,54.7,65.3,70.6,78.5,79.9,72.2,54.8,43.1,32.5,54.4
Pennsylvania,1981,25.3,37.9,40,54.7,62.5,72,76.8,74.9,66.7,53.1,45.5,34.6,53.7
Pennsylvania,1982,24.7,34.4,41.6,50.2,65.9,68.7,76.9,73.5,67.6,56.9,48.3,41.2,54.2
Pennsylvania,1983,34.1,33.9,42.7,51,62,72,77.9,77,69,56.5,46.7,33.1,54.7
Pennsylvania,1984,26.2,38.7,35.5,50.2,60.2,73,73.9,75.1,64.7,61.2,44.3,41.9,53.7
Pennsylvania,1985,27.3,35.3,44.5,55.5,64.5,68.8,75.4,74.1,69,59.3,51.2,33.3,54.9
Pennsylvania,1986,32.8,32.1,44.4,53.3,66.7,73.8,78.1,74,68.3,57.8,44.5,37.8,55.3
Pennsylvania,1987,31.9,32.4,45.7,53.1,63.9,74.6,79.5,75.4,68.8,52.5,48,39.2,55.4
Pennsylvania,1988,27.3,34.6,44.6,51.3,63.6,72.3,80.7,78.2,66.7,51.8,47.7,35.4,54.5
Pennsylvania,1989,36.5,34.7,42.2,52.4,62.4,74.7,76.2,75.5,69.7,58.2,44.9,25.5,54.4
